model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
GPT-OSS-20B,Interview,0.2,negative,5000,2755,0.551,68075,5223,0.07672420124862284,-0.3705361618190076,0.3705361618190076,0.6715425750444692,0.30100641322546157,0.5628495312124566
GPT-OSS-20B,Interview,0.3,negative,5000,2171,0.4342,68075,2832,0.04160117517443995,-0.47832562141354035,0.47832562141354035,0.7117168561697736,0.23339123475623333,0.580001166499484
GPT-OSS-20B,Interview,0.4,negative,5000,1537,0.3074,68075,1714,0.02517811237605582,-0.5653231687511526,0.5653231687511526,0.7548525119956325,0.18952934324447984,0.5799172526324355
GPT-OSS-20B,Interview,0.5,negative,5000,1022,0.2044,68075,1085,0.015938303341902313,-0.6326158141331276,0.6326158141331276,0.7815791845372163,0.14896337040408864,0.608968343334025
GPT-OSS-20B,Interview,0.6,negative,5000,540,0.108,68075,555,0.00815277267719427,-0.7135628856053078,0.7135628856053078,0.828408992084831,0.11484610647952313,0.6222401619460444
GPT-OSS-20B,Interview,0.7,negative,5000,247,0.0494,68075,249,0.0036577304443628353,-0.7920938190051168,0.7920938190051168,0.8760449232084448,0.08395110420332817,0.6404282756249446
Llama-8B,AdvisorAudit,0.1,negative,5000,3995,0.799,71204,9140,0.1283635750800517,-0.1892666286858222,0.1892666286858222,0.48445340828460554,0.29518677959878337,0.5357150807638323
Llama-8B,AdvisorAudit,0.2,negative,5000,2064,0.4128,71204,2900,0.040728048986012025,-0.2912272627755386,0.2912272627755386,0.535309996516893,0.24408273374135445,0.5983354146698469
Llama-8B,AdvisorAudit,0.3,negative,5000,851,0.1702,71204,949,0.013327902926801865,-0.3949952330774249,0.3949952330774249,0.5897927643133123,0.1947975312358874,0.6776759901496465
Llama-8B,AdvisorAudit,0.4,negative,5000,294,0.0588,71204,302,0.004241334756474356,-0.5084437086092716,0.5084437086092716,0.6448344370860927,0.13639072847682118,0.7600825798989999
Llama-8B,AdvisorAudit,0.5,negative,5000,108,0.0216,71204,109,0.0015308128756811414,-0.6160550458715597,0.6160550458715597,0.6953211009174312,0.07926605504587156,0.8093744378485339
Llama-8B,AdvisorAudit,0.6,negative,5000,42,0.0084,71204,43,0.0006038986573787989,-0.7088372093023255,0.7088372093023255,0.7630232558139534,0.05418604651162791,0.859671194059019
Llama-8B,AdvisorAudit,0.7,negative,5000,19,0.0038,71204,19,0.00026683894163249256,-0.7942105263157895,0.7942105263157895,0.8236842105263157,0.02947368421052632,0.8805137844611529
Llama-8B,BS,0.1,negative,5000,3179,0.6358,75844,5923,0.07809450978323929,-0.17296286783218123,0.17296286783218123,0.4575668384973502,0.28460397066516885,0.5197773355587857
Llama-8B,BS,0.2,negative,5000,1097,0.2194,75844,1372,0.01808976319814356,-0.29260350563851206,0.29260350563851206,0.5207191191470356,0.22811561350852344,0.5933516433784398
Llama-8B,BS,0.3,negative,5000,389,0.0778,75844,422,0.005564052528875059,-0.41433377211259237,0.41433377211259237,0.582828505359751,0.16849473324715852,0.6726938326673481
Llama-8B,BS,0.4,negative,5000,159,0.0318,75844,161,0.00212277833447603,-0.5362678721317712,0.5362678721317712,0.6261734623932581,0.08990559026148705,0.8302850125557469
Llama-8B,BS,0.5,negative,5000,78,0.0156,75844,78,0.0010284267707399398,-0.6343003714876149,0.6343003714876149,0.6894643327375621,0.055163961249947276,0.9098124506212741
Llama-8B,BS,0.6,negative,5000,41,0.0082,75844,41,0.0005405833025684299,-0.7190034704765921,0.7190034704765921,0.7448743290268797,0.02587085855028764,0.9812333469973356
Llama-8B,BS,0.7,negative,5000,18,0.0036,75844,18,0.00023732925478613998,-0.8113966416862834,0.8113966416862834,0.8166049750196167,0.005208333333333333,0.9930555555555556
Llama-8B,CarSales,0.1,negative,3079,2551,0.8285157518674895,37742,5146,0.13634677547559748,-0.19156837831636833,0.19156837831636833,0.43607789312560996,0.2445095148092417,0.48241345900935867
Llama-8B,CarSales,0.2,negative,3079,1322,0.42936018187723285,37742,1639,0.04342642149329659,-0.29482439372911085,0.29482439372911085,0.5171012367297763,0.2222768430006654,0.528088791420091
Llama-8B,CarSales,0.3,negative,3079,501,0.1627151672620981,37742,539,0.014281172168936464,-0.40638969292361027,0.40638969292361027,0.6031636155626128,0.19677392263900256,0.5893875167298174
