model_display,env_display,tau,polarity,valid_example_count,event_example_count,coverage,valid_pair_count,event_pair_count,pair_coverage,mean_delta,mean_abs_delta,mean_pre_rate,mean_post_rate,mean_post_location
Qwen-7B,Interview,0.7,positive,4999,90,0.01800360072014403,66838,91,0.0013615009425775755,0.7992873009482331,0.7992873009482331,0.15100620077660895,0.9502935017248418,0.8483285290088782
Qwen-14B,AdvisorAudit,0.1,positive,5000,3881,0.7762,67118,8409,0.1252868083077565,0.19724328404212205,0.19724328404212205,0.5460782786179044,0.7433215626600266,0.5577134279902848
Qwen-14B,AdvisorAudit,0.2,positive,5000,2027,0.4054,67118,2856,0.042551923478053574,0.29871734408048933,0.29871734408048933,0.47093951866460876,0.769656862745098,0.6065990546774037
Qwen-14B,AdvisorAudit,0.3,positive,5000,914,0.1828,67118,1054,0.015703686045472155,0.39633776091081596,0.39633776091081596,0.4041366223908919,0.8004743833017078,0.6567631767347138
Qwen-14B,AdvisorAudit,0.4,positive,5000,338,0.0676,67118,352,0.005244494770404362,0.5076704545454546,0.5076704545454546,0.32375,0.8314204545454547,0.6893466674257116
Qwen-14B,AdvisorAudit,0.5,positive,5000,126,0.0252,67118,127,0.0018921898745493013,0.6092913385826774,0.6092913385826774,0.22960629921259845,0.8388976377952756,0.7041180160737827
Qwen-14B,AdvisorAudit,0.6,positive,5000,51,0.0102,67118,51,0.0007598557763938139,0.6937254901960783,0.6937254901960783,0.19176470588235298,0.8854901960784313,0.7449604653324376
Qwen-14B,AdvisorAudit,0.7,positive,5000,20,0.004,67118,20,0.0002979826574093388,0.7630000000000001,0.7630000000000001,0.156,0.9189999999999999,0.7918040293040293
Qwen-14B,BS,0.1,positive,4999,3516,0.7033406681336267,71936,9024,0.12544483985765126,0.18429480190343944,0.18429480190343944,0.5168572974358696,0.701152099339309,0.5734730890560443
Qwen-14B,BS,0.2,positive,4999,1832,0.3664732946589318,71936,2674,0.03717193060498221,0.28210746319534313,0.28210746319534313,0.4659996418334715,0.7481071050288146,0.6174150254812625
Qwen-14B,BS,0.3,positive,4999,731,0.14622924584916983,71936,808,0.01123220640569395,0.3816087309834942,0.3816087309834942,0.4237926145391643,0.8054013455226586,0.6837963533344285
Qwen-14B,BS,0.4,positive,4999,224,0.04480896179235847,71936,226,0.0031416814946619216,0.4833543492365498,0.4833543492365498,0.37848990214915185,0.8618442513857019,0.7579008424336378
Qwen-14B,BS,0.5,positive,4999,63,0.01260252050410082,71936,63,0.0008757784697508897,0.5769585139322518,0.5769585139322518,0.29121129803478113,0.868169811967033,0.7487317149081856
Qwen-14B,BS,0.6,positive,4999,20,0.004000800160032006,71936,20,0.0002780249110320285,0.6561549042836375,0.6561549042836375,0.26276176238302906,0.9189166666666665,0.809732142857143
Qwen-14B,BS,0.7,positive,4999,3,0.000600120024004801,71936,3,4.170373665480427e-05,0.756388888888889,0.756388888888889,0.2436111111111111,1.0,1.0
Qwen-14B,CarSales,0.1,positive,4996,4335,0.8676941553242594,62344,9727,0.15602142948800204,0.19282094599694397,0.19282094599694397,0.5276978960229657,0.7205188420199095,0.5448717376630281
Qwen-14B,CarSales,0.2,positive,4996,2326,0.4655724579663731,62344,3203,0.051376235082766585,0.29747654111992805,0.29747654111992805,0.46022505950846954,0.7577016006283975,0.5723882492454235
Qwen-14B,CarSales,0.3,positive,4996,1003,0.20076060848678942,62344,1117,0.0179167201334531,0.4023108996125243,0.4023108996125243,0.40284336525909614,0.8051542648716205,0.6198809112140514
Qwen-14B,CarSales,0.4,positive,4996,379,0.07586068855084067,62344,391,0.006271654048505069,0.5149114635675293,0.5149114635675293,0.34165613979238285,0.8565676033599122,0.6831923262869555
Qwen-14B,CarSales,0.5,positive,4996,154,0.030824659727782224,62344,156,0.0025022456050301555,0.6181631132201955,0.6181631132201955,0.2775662846809467,0.8957293979011423,0.7414918414918414
Qwen-14B,CarSales,0.6,positive,4996,79,0.015812650120096076,62344,80,0.0012832028743744385,0.6902821058034838,0.6902821058034838,0.21790292798017646,0.9081850337836604,0.7516593302530803
Qwen-14B,CarSales,0.7,positive,4996,31,0.006204963971176942,62344,31,0.000497241113820095,0.7679038474828499,0.7679038474828499,0.16680668625832776,0.9347105337411779,0.7449146283823704
Qwen-14B,Gridworld,0.1,positive,4984,2983,0.5985152487961477,73415,10930,0.14887965674589662,0.2028935153201262,0.2028935153201262,0.43490490505442797,0.6377984203745541,0.6064369105725195
Qwen-14B,Gridworld,0.2,positive,4984,2274,0.45626003210272875,73415,4033,0.05493427773615746,0.2983313176497973,0.2983313176497973,0.4118677036894599,0.7101990213392573,0.6550251960060378
Qwen-14B,Gridworld,0.3,positive,4984,1241,0.2489967897271268,73415,1490,0.02029557992235919,0.39545815641692916,0.39545815641692916,0.3915838926174497,0.7870420490343789,0.7278639654967133
Qwen-14B,Gridworld,0.4,positive,4984,457,0.09169341894060995,73415,480,0.006538173397806987,0.5066666666666666,0.5066666666666666,0.35100000000000003,0.8576666666666667,0.8048083226346094
Qwen-14B,Gridworld,0.5,positive,4984,156,0.03130016051364366,73415,160,0.0021793911326023294,0.617375,0.617375,0.26175000000000004,0.8791250000000002,0.8509567577030813
